judul,harga,lokasi,kamar_tidur,kamar_mandi,luas_tanah,luas_bangunan,jumlah_garasi,daya_watt,jumlah_lantai,sertifikat_Hak_Pakai,sertifikat_Lainnya,sertifikat_PPJB,sertifikat_SHM,kota_Batu,kota_Gresik,kota_Jember,kota_Kediri,kota_Lumajang,kota_Madiun,kota_Malang,kota_Mojokerto,kota_Nganjuk,kota_Pamekasan,kota_Pasuruan,kota_Probolinggo,kota_Sidoarjo,kota_Situbondo,kota_Surabaya,kota_Trenggalek,kota_Tuban,kota_Tulungagung,kota_original,sertifikat_rumah_original
Rumah Cantik 2 Lantai Murah Perumahan Seberang Mc.d Rungkut,795000000,"Rungkut, Surabaya",3,2,50,70,2,1300,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Murah Rumah Luas Di Graha Kencana Row Jalan Lebar Siap Huni,2500000000,"Blimbing, Malang",4,3,232,190,1,4400,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Murah Langka Ready Di Citraland Puncak Tidar Harga Bawah Pasar,2800000000,"Villa Puncak Tidar, Malang",2,3,135,150,2,4400,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,HGB
Murah Rumah Luas Tengah Kota Malang Strategis Bisa Untuk Gudang,4000000000,"Klojen, Malang",5,6,626,400,2,4400,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Murah Mewah Di Perumahan Elite Araya Golf Malang Siap Huni,2800000000,"Araya, Malang",5,4,240,400,2,2200,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Baru Gress Mewah Minimalis Dekat Suhat Univ Brawijaya Full Furnis,3280000000,"Lowokwaru, Malang",4,3,140,144,1,2200,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,HGB
Jual Rumah Minimalis Siap Huni Dekat Mall & Rs,1200000000,"Wiyung, Surabaya",4,2,108,102,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Perumahan Mojokerto Terlaris Garden Mansion Dekat Surabaya,166000000,"Surabaya Kota, Surabaya",2,1,66,27,1,1300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Dijual 3 Unit New Gress Minimalist Boulevard (jln Kembar),2600000000,"Semolowaru, Surabaya",4,3,91,120,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"Rumah Baru 2 Lt Murah Citraland North West Lake Surabaya Rumah Minimalis, Hdp Selatan Rumah di NORTH WEST LAKE Blok NF
NORTH CITRALAND
SURABAYA, Citraland",1190000000,"Citraland, Surabaya",2,2,72,69,1,2200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
